geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001000100,4982,1435,1795,1590,9802,17001,4627,4412,62,45,108,0.05
17001000201,2238,834,617,748,4437,17001,1986,1882,53,9,42,0.05
17001000202,2630,705,414,666,4415,17001,2999,2688,215,14,82,0.05
17001000400,5299,2056,2441,1722,11518,17001,4322,3527,582,13,200,0.05
17001000500,1981,722,604,794,4101,17001,2337,1872,380,6,79,0.05
17001000600,3943,896,859,1145,6843,17001,3718,3456,128,46,88,0.05
17001000700,1853,1204,597,672,4326,17001,1481,1278,153,9,41,0.05
17001000800,3207,1387,1650,1125,7369,17001,2711,2317,184,11,199,0.05
17001000900,2698,794,682,662,4836,17001,2573,2381,102,14,76,0.05
17001001001,3341,931,521,935,5728,17001,3391,3241,58,20,72,0.05
17001001002,3879,1206,633,773,6491,17001,3223,3107,61,11,44,0.05
17001001100,8011,2253,1781,1642,13687,17001,7257,6782,188,169,118,0.05
17001010100,10064,6627,6568,6324,29583,17001,4451,4404,11,4,32,0.05
17001010200,7727,5331,4498,4901,22457,17001,3720,3661,9,6,44,0.05
17001010300,10903,6039,6259,7369,30570,17001,5890,5821,10,3,56,0.05
17001010400,5589,3179,2817,2840,14425,17001,3553,3469,19,14,51,0.05
17001010500,4437,1966,1675,2076,10154,17001,2989,2879,48,17,45,0.05
17001010600,8466,3983,3263,3457,19169,17001,5875,5691,68,30,86,0.05
17003957600,5223,3322,2777,4409,15731,17003,2928,2296,473,3,156,0.05
17003957700,4444,3525,2689,3196,13854,17003,2172,1787,330,1,54,0.05
17003957800,2961,3900,2992,2727,12580,17003,1528,562,925,7,34,0.05
17003957900,2092,2438,1766,1603,7899,17003,1610,373,1187,5,45,0.05
17005951200,5375,3623,2940,3850,15788,17005,3216,3037,139,4,36,0.05
17005951300,8061,4778,4337,3841,21017,17005,6958,5653,910,49,346,0.05
17005951400,5694,3719,4174,3415,17002,17005,3146,3087,6,5,48,0.05
17005951500,7926,5040,5301,4611,22878,17005,4448,4366,25,10,47,0.05
17007010100,7428,2646,2448,3910,16432,17007,8562,6557,262,57,1686,0.05
17007010200,5119,1697,2030,2559,11405,17007,6105,4661,78,34,1332,0.05
17007010300,5638,1135,1337,1936,10046,17007,6631,5289,167,45,1130,0.05
17007010400,8753,3989,4501,3941,21184,17007,6841,5788,155,114,784,0.05
17007010500,11310,3160,3131,3178,20779,17007,10185,9375,107,197,506,0.05
17007010601,4835,2080,2106,2546,11567,17007,3859,3455,25,9,370,0.05
17007010602,11927,3653,3113,3425,22118,17007,11982,10599,270,230,883,0.05
17009970400,9777,7970,7713,7282,32742,17009,2606,2573,4,3,26,0.05
17009970500,5394,4927,2874,3192,16387,17009,4331,2703,1276,13,339,0.05
17011964700,5122,4006,3986,3904,17018,17011,3072,3002,9,3,58,0.05
17011964800,8087,5647,5644,5743,25121,17011,3496,3433,6,12,45,0.05
17011964900,5004,3414,3229,3425,15072,17011,2815,2715,16,24,60,0.05
17011965000,7466,6070,5787,7135,26458,17011,4078,3352,32,37,657,0.05
17011965100,5812,3631,3063,3550,16056,17011,4152,3831,42,22,257,0.05
17011965200,4850,2483,2161,2014,11508,17011,3600,3274,48,25,253,0.05
17011965300,4915,3175,2544,2789,13423,17011,3429,3316,14,31,68,0.05
17011965400,4054,1066,1216,1365,7701,17011,3549,3407,20,45,77,0.05
17011965500,7796,4657,5116,4806,22375,17011,3759,3668,10,20,61,0.05
17011965600,7430,5989,6171,6268,25858,17011,3028,2939,15,9,65,0.05
17013951200,5439,3556,3238,3731,15964,17013,2681,2640,7,11,23,0.05
17013951300,4530,2608,2450,2767,12355,17013,2408,2392,0,1,15,0.05
