geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,67346,11637,10203,10776,99962,17,67103,62868,2331,441,1463,0.2
17003,7181,5501,2785,2852,18319,17,8238,5018,2915,16,289,0.2
17005,18001,5249,3954,4551,31755,17,17768,16143,1080,68,477,0.2
17007,47765,5059,4741,10040,67605,17,54165,45724,1064,686,6691,0.2
17009,6829,4061,2730,2960,16580,17,6937,5276,1280,16,365,0.2
17011,38180,9857,10196,11236,69469,17,34978,32937,212,228,1601,0.2
17013,6194,1831,1863,1734,11622,17,5089,5032,7,12,38,0.2
17015,17468,5256,5053,5361,33138,17,15387,14906,123,53,305,0.2
17017,14222,4830,4390,5296,28738,17,13642,11769,419,44,1410,0.2
17019,155654,39351,33788,25810,254603,17,201081,147600,24946,17969,10566,0.2
17021,37208,8900,8277,8794,63179,17,34800,33610,495,167,528,0.2
17023,18893,5361,4852,5383,34489,17,16335,16027,48,55,205,0.2
17025,15794,4252,4225,4261,28532,17,13815,13499,47,63,206,0.2
17027,37841,7796,6791,6610,59038,17,37762,35284,1338,167,973,0.2
17029,53608,9389,7688,8194,78879,17,53873,50029,2067,531,1246,0.2
17031,2979804,1454235,529634,869591,5833264,17,5194675,2877212,1287767,322672,707024,0.2
17033,20762,6034,5164,5251,37211,17,19817,18381,934,103,399,0.2
17035,12804,3488,3667,3790,23749,17,11048,10856,38,27,127,0.2
17037,94130,16088,12020,15472,137710,17,105160,89453,6732,2438,6537,0.2
17039,18741,4951,5336,5084,34112,17,16561,16035,87,60,379,0.2
17041,22971,6317,6548,6806,42642,17,19980,19113,58,83,726,0.2
17043,731625,80296,124431,102627,1038979,17,916924,714140,42346,92304,68134,0.2
17045,23829,8649,7985,8680,49143,17,18576,18268,64,33,211,0.2
17047,7442,2051,1908,2185,13586,17,6721,6584,30,22,85,0.2
17049,36597,6223,6408,6211,55439,17,34242,33429,79,147,587,0.2
17051,25159,8266,7358,7404,48187,17,22140,20750,980,51,359,0.2
