geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,63578,3993,2223,3215,73009,17,67103,62868,2331,441,1463,1.0
17003,5411,3314,570,817,10112,17,8238,5018,2915,16,289,1.0
17005,16404,1849,815,1273,20341,17,17768,16143,1080,68,477,1.0
17007,45966,1857,1397,7327,56547,17,54165,45724,1064,686,6691,1.0
17009,5571,1790,533,880,8774,17,6937,5276,1280,16,365,1.0
17011,33772,2053,1949,3293,41067,17,34978,32937,212,228,1601,1.0
17013,5189,342,321,336,6188,17,5089,5032,7,12,38,1.0
17015,15343,995,1081,1188,18607,17,15387,14906,123,53,305,1.0
17017,12076,1280,884,2162,16402,17,13642,11769,419,44,1410,1.0
17019,149057,27626,20868,13264,210815,17,201081,147600,24946,17969,10566,1.0
17021,34180,2028,1667,1949,39824,17,34800,33610,495,167,528,1.0
17023,16374,977,1035,1103,19489,17,16335,16027,48,55,205,1.0
17025,13827,829,864,926,16446,17,13815,13499,47,63,206,1.0
17027,35593,2474,1452,2038,41557,17,37762,35284,1338,167,973,1.0
17029,50612,3372,1849,2574,58407,17,53873,50029,2067,531,1246,1.0
17031,2894452,1315437,358011,733162,5301062,17,5194675,2877212,1287767,322672,707024,1.0
17033,18686,1853,1034,1311,22884,17,19817,18381,934,103,399,1.0
17035,11128,680,690,844,13342,17,11048,10856,38,27,127,1.0
17037,90208,8426,4166,8138,110938,17,105160,89453,6732,2438,6537,1.0
17039,16365,1012,1027,1211,19615,17,16561,16035,87,60,379,1.0
17041,19592,1099,1258,1755,23704,17,19980,19113,58,83,726,1.0
17043,717290,48950,97716,73939,937895,17,916924,714140,42346,92304,68134,1.0
17045,18978,1754,1612,1792,24136,17,18576,18268,64,33,211,1.0
17047,6754,387,437,449,8027,17,6721,6584,30,22,85,1.0
17049,33798,1219,1305,1793,38115,17,34242,33429,79,147,587,1.0
17051,21367,2350,1383,1727,26827,17,22140,20750,980,51,359,1.0
17053,14063,865,831,1021,16780,17,14081,13677,85,37,282,1.0
17055,39470,1932,1922,2432,45756,17,39561,38641,123,124,673,1.0
17057,35422,2882,1783,2513,42600,17,37069,34625,1269,112,1063,1.0
17059,5708,455,463,500,7126,17,5589,5473,12,5,99,1.0
17061,13797,964,922,1008,16691,17,13886,13588,119,16,163,1.0
17063,48552,2874,2622,4355,58403,17,50063,46933,605,327,2198,1.0
17065,8585,734,650,742,10711,17,8457,8305,31,19,102,1.0
17067,19207,1263,1277,1430,23177,17,19104,18723,52,46,283,1.0
17069,4358,237,262,291,5148,17,4320,4205,13,22,80,1.0
17071,7471,659,666,747,9543,17,7331,7198,15,15,103,1.0
17073,48465,2399,1842,3100,55806,17,50486,47846,796,191,1653,1.0
17075,28787,2027,1857,2867,35538,17,29718,28155,233,103,1227,1.0
17077,47799,10160,3464,4386,65809,17,60218,46875,8589,1910,2844,1.0
17079,9823,664,696,730,11913,17,9698,9564,11,24,99,1.0
17081,34822,4516,1679,2245,43262,17,38827,34315,3251,246,1015,1.0
17083,22596,614,678,959,24847,17,22985,22431,93,77,384,1.0
17085,22591,1187,1162,1449,26389,17,22678,22046,107,72,453,1.0
17087,11511,1685,672,1018,14886,17,12582,11197,1006,22,357,1.0
17089,386177,33404,21914,86408,527903,17,515269,384548,29422,17895,83404,1.0
17091,88697,18873,2917,8786,119273,17,113449,87986,17187,1052,7224,1.0
17093,96623,8050,5069,10224,119966,17,114736,95891,6585,3467,8793,1.0
17095,46824,5319,1834,3817,57794,17,52919,46329,3810,338,2442,1.0
17097,531220,55236,50318,87009,723783,17,703462,528204,49033,44358,81867,1.0
17099,107340,5276,3845,7468,123929,17,113924,106187,2186,762,4789,1.0
17101,15038,2440,862,1302,19642,17,16833,14696,1608,38,491,1.0
17103,33211,3054,1576,2726,40567,17,36031,32745,1735,246,1305,1.0
17105,36672,4089,2466,3155,46382,17,38950,35752,1915,199,1084,1.0
17107,27709,3802,1710,2398,35619,17,30305,27008,2285,184,828,1.0
17109,29861,2615,1589,1915,35980,17,32612,29476,1642,580,914,1.0
17111,279439,6777,11178,22099,319493,17,308760,278257,3283,7807,19413,1.0
17113,144229,14983,10179,9801,179192,17,169572,142940,12426,7227,6979,1.0
17115,88693,19742,3197,5525,117157,17,110768,87855,18027,1118,3768,1.0
17117,47238,2277,2128,2603,54246,17,47765,46596,359,129,681,1.0
17119,240189,25473,7173,12555,285390,17,269282,237641,21235,2254,8152,1.0
17121,37364,3204,2050,2557,45175,17,39437,36734,1557,224,922,1.0
17123,12694,900,938,1204,15736,17,12640,12271,44,45,280,1.0
17125,14796,1039,1018,993,17846,17,14666,14382,54,40,190,1.0
17127,14314,1414,593,962,17283,17,15429,14033,904,42,450,1.0
17129,12631,579,586,767,14563,17,12705,12383,76,30,216,1.0
17131,16478,867,819,943,19107,17,16434,16153,47,52,182,1.0
17133,32661,775,916,1142,35494,17,32957,32287,69,144,457,1.0
17135,29281,2580,1721,2041,35623,17,30104,28632,952,111,409,1.0
17137,32705,3020,1225,1915,38865,17,35547,32321,2122,168,936,1.0
17139,14964,704,763,851,17282,17,14846,14622,41,31,152,1.0
17141,50337,2123,1922,4227,58609,17,53497,49867,483,250,2897,1.0
17143,139798,34884,8247,10795,193724,17,186494,138800,33030,5856,8808,1.0
17145,20036,2692,870,1424,25022,17,22350,19656,1866,87,741,1.0
17147,16739,927,889,973,19528,17,16729,16393,58,51,227,1.0
17149,16514,1760,1483,1666,21423,17,16430,15928,275,38,189,1.0
17151,4201,529,261,375,5366,17,4470,4098,269,11,92,1.0
17153,4299,2414,458,632,7803,17,6161,3965,1994,13,189,1.0
17155,5883,341,317,389,6930,17,6006,5803,32,13,158,1.0
17157,29732,4498,1375,2037,37642,17,33476,29318,3263,104,791,1.0
17159,15953,786,777,877,18393,17,16233,15795,78,119,241,1.0
17161,121268,14912,4455,13151,153786,17,147546,120382,13289,2419,11456,1.0
17163,177059,85573,7948,14285,284865,17,270056,174458,82302,3276,10020,1.0
17165,23644,2130,1334,1643,28751,17,24913,23178,995,101,639,1.0
17167,166979,26687,7065,9477,210208,17,197465,165103,23335,3220,5807,1.0
17169,7448,691,536,611,9286,17,7544,7205,243,9,87,1.0
17171,5437,406,444,428,6715,17,5355,5279,9,12,55,1.0
