geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001000100,4416,66,56,115,4653,17001,4627,4412,62,45,108,5.0
17001000201,1879,55,13,44,1991,17001,1986,1882,53,9,42,5.0
17001000202,2686,220,15,82,3003,17001,2999,2688,215,14,82,5.0
17001000400,3538,594,24,199,4355,17001,4322,3527,582,13,200,5.0
17001000500,1873,380,6,83,2342,17001,2337,1872,380,6,79,5.0
17001000600,3457,129,48,91,3725,17001,3718,3456,128,46,88,5.0
17001000700,1280,160,10,43,1493,17001,1481,1278,153,9,41,5.0
17001000800,2317,188,14,198,2717,17001,2711,2317,184,11,199,5.0
17001000900,2379,98,20,75,2572,17001,2573,2381,102,14,76,5.0
17001001001,3241,58,22,72,3393,17001,3391,3241,58,20,72,5.0
17001001002,3109,65,15,49,3238,17001,3223,3107,61,11,44,5.0
17001001100,6781,193,177,121,7272,17001,7257,6782,188,169,118,5.0
17001010100,4409,39,36,55,4539,17001,4451,4404,11,4,32,5.0
17001010200,3675,28,25,65,3793,17001,3720,3661,9,6,44,5.0
17001010300,5830,32,25,83,5970,17001,5890,5821,10,3,56,5.0
17001010400,3476,32,30,60,3598,17001,3553,3469,19,14,51,5.0
17001010500,2882,63,22,53,3020,17001,2989,2879,48,17,45,5.0
17001010600,5703,85,40,99,5927,17001,5875,5691,68,30,86,5.0
17003957600,2300,488,18,170,2976,17003,2928,2296,473,3,156,5.0
17003957700,1800,345,14,69,2228,17003,2172,1787,330,1,54,5.0
17003957800,573,935,20,45,1573,17003,1528,562,925,7,34,5.0
17003957900,377,1189,13,48,1627,17003,1610,373,1187,5,45,5.0
17005951200,3041,148,15,56,3260,17005,3216,3037,139,4,36,5.0
17005951300,5651,930,64,357,7002,17005,6958,5653,910,49,346,5.0
17005951400,3097,18,22,70,3207,17005,3146,3087,6,5,48,5.0
17005951500,4359,50,32,76,4517,17005,4448,4366,25,10,47,5.0
17007010100,6560,272,63,1698,8593,17007,8562,6557,262,57,1686,5.0
17007010200,4668,86,41,1335,6130,17007,6105,4661,78,34,1332,5.0
17007010300,5291,171,51,1135,6648,17007,6631,5289,167,45,1130,5.0
17007010400,5798,168,129,797,6892,17007,6841,5788,155,114,784,5.0
17007010500,9376,113,207,512,10208,17007,10185,9375,107,197,506,5.0
17007010601,3459,32,15,373,3879,17007,3859,3455,25,9,370,5.0
17007010602,10604,275,241,891,12011,17007,11982,10599,270,230,883,5.0
17009970400,2592,31,34,53,2710,17009,2606,2573,4,3,26,5.0
17009970500,2709,1285,26,347,4367,17009,4331,2703,1276,13,339,5.0
17011964700,3011,25,18,70,3124,17011,3072,3002,9,3,58,5.0
17011964800,3441,16,44,70,3571,17011,3496,3433,6,12,45,5.0
17011964900,2728,24,38,73,2863,17011,2815,2715,16,24,60,5.0
17011965000,3373,53,59,679,4164,17011,4078,3352,32,37,657,5.0
17011965100,3836,52,30,262,4180,17011,4152,3831,42,22,257,5.0
17011965200,3273,50,42,256,3621,17011,3600,3274,48,25,253,5.0
17011965300,3319,29,36,81,3465,17011,3429,3316,14,31,68,5.0
17011965400,3408,24,50,80,3562,17011,3549,3407,20,45,77,5.0
17011965500,3669,29,44,73,3815,17011,3759,3668,10,20,61,5.0
17011965600,2947,35,36,91,3109,17011,3028,2939,15,9,65,5.0
17013951200,2651,20,32,38,2741,17013,2681,2640,7,11,23,5.0
17013951300,2393,7,19,31,2450,17013,2408,2392,0,1,15,5.0
17015960100,3530,34,28,56,3648,17015,3578,3523,7,12,36,5.0
17015960200,2105,46,30,49,2230,17015,2165,2099,21,4,41,5.0
17015960300,2986,73,16,144,3219,17015,3176,2985,59,3,129,5.0
17015960400,2200,16,24,30,2270,17015,2234,2193,5,16,20,5.0
17015960500,2587,19,26,53,2685,17015,2636,2578,5,15,38,5.0
17015960600,1534,36,8,44,1622,17015,1598,1528,26,3,41,5.0
17017960100,2375,29,27,42,2473,17017,2403,2363,12,4,24,5.0
17017960200,2609,27,22,54,2712,17017,2655,2595,9,6,45,5.0
