geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,57232,14176,12838,13486,97732,17,67103,62868,2331,441,1463,0.1
17003,6348,5376,3495,4176,19395,17,8238,5018,2915,16,289,0.1
17005,15102,5726,5325,5808,31961,17,17768,16143,1080,68,477,0.1
17007,42221,6594,5992,10568,65375,17,54165,45724,1064,686,6691,0.1
17009,5794,4218,2632,3361,16005,17,6937,5276,1280,16,365,0.1
17011,29802,11439,12306,13211,66758,17,34978,32937,212,228,1601,0.1
17013,5073,1912,1716,2036,10737,17,5089,5032,7,12,38,0.1
17015,13427,5766,5943,5679,30815,17,15387,14906,123,53,305,0.1
17017,11352,6527,5607,6051,29537,17,13642,11769,419,44,1410,0.1
17019,138965,44490,38615,30781,252851,17,201081,147600,24946,17969,10566,0.1
17021,30180,11022,10005,9685,60892,17,34800,33610,495,167,528,0.1
17023,14664,5751,6193,6310,32918,17,16335,16027,48,55,205,0.1
17025,12048,5391,5181,5176,27796,17,13815,13499,47,63,206,0.1
17027,30205,9386,8518,9051,57160,17,37762,35284,1338,167,973,0.1
17029,46192,11253,9867,10338,77650,17,53873,50029,2067,531,1246,0.1
17031,2721890,1368324,595280,886043,5571537,17,5194675,2877212,1287767,322672,707024,0.1
17033,15895,7324,6116,7008,36343,17,19817,18381,934,103,399,0.1
17035,9944,4719,4712,4655,24030,17,11048,10856,38,27,127,0.1
17037,82429,18732,14548,17458,133167,17,105160,89453,6732,2438,6537,0.1
17039,14528,5541,5749,6539,32357,17,16561,16035,87,60,379,0.1
17041,18053,7638,7797,7289,40777,17,19980,19113,58,83,726,0.1
17043,669315,94817,129551,111368,1005051,17,916924,714140,42346,92304,68134,0.1
17045,19557,10580,10193,10688,51018,17,18576,18268,64,33,211,0.1
17047,5638,2484,2354,2411,12887,17,6721,6584,30,22,85,0.1
17049,29815,8141,7921,8534,54411,17,34242,33429,79,147,587,0.1
17051,19874,9108,9083,7834,45899,17,22140,20750,980,51,359,0.1
17053,12703,4773,5374,5121,27971,17,14081,13677,85,37,282,0.1
17055,33830,11673,11719,11787,69009,17,39561,38641,123,124,673,0.1
17057,30389,11599,10770,11235,63993,17,37069,34625,1269,112,1063,0.1
17059,5318,2677,2896,2756,13647,17,5589,5473,12,5,99,0.1
17061,12863,5925,5410,6226,30424,17,13886,13588,119,16,163,0.1
17063,46645,15462,13799,15833,91739,17,50063,46933,605,327,2198,0.1
17065,8126,3644,4334,4044,20148,17,8457,8305,31,19,102,0.1
17067,17744,8320,7759,8024,41847,17,19104,18723,52,46,283,0.1
17069,3873,1435,1658,1572,8538,17,4320,4205,13,22,80,0.1
17071,7354,4331,4050,4285,20020,17,7331,7198,15,15,103,0.1
17073,42506,11881,10508,10892,75787,17,50486,47846,796,191,1653,0.1
17075,27369,11214,11622,12066,62271,17,29718,28155,233,103,1227,0.1
17077,46022,17766,13153,14130,91071,17,60218,46875,8589,1910,2844,0.1
17079,8306,3623,4232,3989,20150,17,9698,9564,11,24,99,0.1
17081,31086,10967,10207,9795,62055,17,38827,34315,3251,246,1015,0.1
17083,19475,3650,4045,4156,31326,17,22985,22431,93,77,384,0.1
17085,21327,6758,6795,6750,41630,17,22678,22046,107,72,453,0.1
17087,10961,5241,4232,4447,24881,17,12582,11197,1006,22,357,0.1
17089,354702,59281,48702,102558,565243,17,515269,384548,29422,17895,83404,0.1
17091,80978,26563,15044,18804,141389,17,113449,87986,17187,1052,7224,0.1
17093,90512,16844,14911,17941,140208,17,114736,95891,6585,3467,8793,0.1
17095,42671,12570,10042,11627,76910,17,52919,46329,3810,338,2442,0.1
17097,497760,94868,87526,116439,796593,17,703462,528204,49033,44358,81867,0.1
17099,92526,22816,21229,23286,159857,17,113924,106187,2186,762,4789,0.1
17101,13130,6710,4933,6035,30808,17,16833,14696,1608,38,491,0.1
17103,29911,11053,9158,9960,60082,17,36031,32745,1735,246,1305,0.1
17105,33724,15720,14307,14152,77903,17,38950,35752,1915,199,1084,0.1
17107,24672,11814,9363,10321,56170,17,30305,27008,2285,184,828,0.1
17109,26806,7885,7213,7828,49732,17,32612,29476,1642,580,914,0.1
17111,249091,31725,32668,40339,353823,17,308760,278257,3283,7807,19413,0.1
17113,133698,29634,27455,26719,217506,17,169572,142940,12426,7227,6979,0.1
17115,78783,27240,15426,16891,138340,17,110768,87855,18027,1118,3768,0.1
17117,39723,14254,13230,13860,81067,17,47765,46596,359,129,681,0.1
17119,219158,48093,34556,38910,340717,17,269282,237641,21235,2254,8152,0.1
17121,32970,12604,11778,12924,70276,17,39437,36734,1557,224,922,0.1
17123,12113,5679,5616,5937,29345,17,12640,12271,44,45,280,0.1
17125,13371,6043,5863,5741,31018,17,14666,14382,54,40,190,0.1
17127,12781,4048,3578,4023,24430,17,15429,14033,904,42,450,0.1
17129,11545,3635,3216,3379,21775,17,12705,12383,76,30,216,0.1
17131,13032,5266,4705,5532,28535,17,16434,16153,47,52,182,0.1
17133,29702,5435,5724,5529,46390,17,32957,32287,69,144,457,0.1
17135,26649,11491,10723,11229,60092,17,30104,28632,952,111,409,0.1
17137,28918,8765,7227,7409,52319,17,35547,32321,2122,168,936,0.1
17139,13015,4678,4650,4449,26792,17,14846,14622,41,31,152,0.1
17141,43770,11158,11205,12969,79102,17,53497,49867,483,250,2897,0.1
17143,127631,44432,22123,23243,217429,17,186494,138800,33030,5856,8808,0.1
17145,17625,6763,5571,5694,35653,17,22350,19656,1866,87,741,0.1
17147,14315,5447,5866,5084,30712,17,16729,16393,58,51,227,0.1
17149,15549,8134,8046,8588,40317,17,16430,15928,275,38,189,0.1
17151,3800,1917,1503,1907,9127,17,4470,4098,269,11,92,0.1
17153,4952,4370,2580,2800,14702,17,6161,3965,1994,13,189,0.1
17155,5185,2089,2198,1925,11397,17,6006,5803,32,13,158,0.1
17157,25654,10929,8513,8878,53974,17,33476,29318,3263,104,791,0.1
17159,13254,4394,4281,4414,26343,17,16233,15795,78,119,241,0.1
17161,112294,24810,16632,22087,175823,17,147546,120382,13289,2419,11456,0.1
17163,168280,94649,36594,39220,338743,17,270056,174458,82302,3276,10020,0.1
17165,20366,7816,7135,7411,42728,17,24913,23178,995,101,639,0.1
17167,150666,45705,30596,30748,257715,17,197465,165103,23335,3220,5807,0.1
17169,7367,3616,3257,3592,17832,17,7544,7205,243,9,87,0.1
17171,4565,2401,2286,2607,11859,17,5355,5279,9,12,55,0.1
17173,21103,10577,10334,11035,53049,17,22363,22045,50,56,212,0.1
17175,5481,2758,2378,2355,12972,17,5994,5855,28,19,92,0.1
17177,35678,10774,7817,9141,63410,17,47711,41291,4275,297,1848,0.1
17179,116409,22068,20441,22149,181067,17,135394,130225,1374,999,2796,0.1
17181,15928,5256,5300,5682,32166,17,17808,16880,156,54,718,0.1
17183,63744,28484,23958,23627,139813,17,81625,67323,10571,564,3167,0.1
17185,11706,5430,5559,5406,28101,17,11947,11576,77,70,224,0.1
17187,14965,5896,5920,5977,32758,17,17707,16165,303,94,1145,0.1
17189,12488,4812,5201,4706,27207,17,14716,14376,101,42,197,0.1
17191,15303,6578,6314,6031,34226,17,16760,16427,42,71,220,0.1
17193,16116,8961,9249,9103,43429,17,14665,14393,56,31,185,0.1
17195,48160,15312,15493,16155,95120,17,58498,53923,781,276,3518,0.1
17197,478904,110514,72614,88987,751019,17,677560,514664,75743,30833,56320,0.1
17199,55117,16005,14113,15286,100521,17,66357,61542,2540,561,1714,0.1
17201,206955,56795,37215,46205,347170,17,295266,228652,36108,6810,23696,0.1
17203,34177,9408,9385,9284,62254,17,38664,37643,187,213,621,0.1
