geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001000100,4298,152,148,188,4786,17001,4627,4412,62,45,108,0.5
17001000201,1833,76,71,61,2041,17001,1986,1882,53,9,42,0.5
17001000202,2626,221,48,83,2978,17001,2999,2688,215,14,82,0.5
17001000400,3453,597,143,262,4455,17001,4322,3527,582,13,200,0.5
17001000500,1835,403,60,120,2418,17001,2337,1872,380,6,79,0.5
17001000600,3416,163,97,147,3823,17001,3718,3456,128,46,88,0.5
17001000700,1197,188,52,90,1527,17001,1481,1278,153,9,41,0.5
17001000800,2333,242,66,221,2862,17001,2711,2317,184,11,199,0.5
17001000900,2287,120,56,111,2574,17001,2573,2381,102,14,76,0.5
17001001001,3100,84,62,119,3365,17001,3391,3241,58,20,72,0.5
17001001002,2970,74,58,78,3180,17001,3223,3107,61,11,44,0.5
17001001100,6601,260,282,202,7345,17001,7257,6782,188,169,118,0.5
17001010100,4155,419,460,377,5411,17001,4451,4404,11,4,32,0.5
17001010200,3106,329,370,321,4126,17001,3720,3661,9,6,44,0.5
17001010300,5331,519,370,474,6694,17001,5890,5821,10,3,56,0.5
17001010400,3197,226,211,201,3835,17001,3553,3469,19,14,51,0.5
17001010500,2831,146,108,136,3221,17001,2989,2879,48,17,45,0.5
17001010600,5599,289,280,329,6497,17001,5875,5691,68,30,86,0.5
17003957600,2157,643,218,352,3370,17003,2928,2296,473,3,156,0.5
17003957700,1726,479,217,171,2593,17003,2172,1787,330,1,54,0.5
17003957800,593,919,170,199,1881,17003,1528,562,925,7,34,0.5
17003957900,392,1122,132,142,1788,17003,1610,373,1187,5,45,0.5
17005951200,2800,343,274,298,3715,17005,3216,3037,139,4,36,0.5
17005951300,5297,1107,279,539,7222,17005,6958,5653,910,49,346,0.5
17005951400,2800,275,277,233,3585,17005,3146,3087,6,5,48,0.5
17005951500,3905,342,353,331,4931,17005,4448,4366,25,10,47,0.5
17007010100,6462,397,201,1714,8774,17007,8562,6557,262,57,1686,0.5
17007010200,4573,193,170,1322,6258,17007,6105,4661,78,34,1332,0.5
17007010300,5191,227,153,1124,6695,17007,6631,5289,167,45,1130,0.5
17007010400,5625,412,331,936,7304,17007,6841,5788,155,114,784,0.5
17007010500,9135,242,373,629,10379,17007,10185,9375,107,197,506,0.5
17007010601,3161,196,127,465,3949,17007,3859,3455,25,9,370,0.5
17007010602,10423,442,412,1078,12355,17007,11982,10599,270,230,883,0.5
17009970400,2296,399,442,524,3661,17009,2606,2573,4,3,26,0.5
17009970500,2561,1458,186,512,4717,17009,4331,2703,1276,13,339,0.5
17011964700,2673,231,231,309,3444,17011,3072,3002,9,3,58,0.5
17011964800,2977,331,405,406,4119,17011,3496,3433,6,12,45,0.5
17011964900,2490,221,223,259,3193,17011,2815,2715,16,24,60,0.5
17011965000,3202,487,455,1012,5156,17011,4078,3352,32,37,657,0.5
17011965100,3578,271,248,437,4534,17011,4152,3831,42,22,257,0.5
17011965200,3008,188,181,317,3694,17011,3600,3274,48,25,253,0.5
17011965300,2948,170,176,221,3515,17011,3429,3316,14,31,68,0.5
17011965400,3195,109,146,177,3627,17011,3549,3407,20,45,77,0.5
17011965500,3281,290,305,307,4183,17011,3759,3668,10,20,61,0.5
17011965600,2578,348,451,454,3831,17011,3028,2939,15,9,65,0.5
17013951200,2592,288,202,292,3374,17013,2681,2640,7,11,23,0.5
17013951300,2208,181,186,175,2750,17013,2408,2392,0,1,15,0.5
17015960100,3089,307,303,291,3990,17015,3578,3523,7,12,36,0.5
17015960200,2050,301,330,290,2971,17015,2165,2099,21,4,41,0.5
17015960300,2869,202,178,295,3544,17015,3176,2985,59,3,129,0.5
17015960400,2018,189,172,213,2592,17015,2234,2193,5,16,20,0.5
17015960500,2223,221,265,296,3005,17015,2636,2578,5,15,38,0.5
17015960600,1427,142,191,175,1935,17015,1598,1528,26,3,41,0.5
17017960100,2002,330,324,271,2927,17017,2403,2363,12,4,24,0.5
17017960200,2353,254,183,245,3035,17017,2655,2595,9,6,45,0.5
17017960300,2662,317,307,505,3791,17017,3294,2892,64,15,323,0.5
17017960400,1758,286,148,561,2753,17017,2548,1946,132,12,458,0.5
17017960500,1818,318,227,563,2926,17017,2742,1973,202,7,560,0.5
17019000200,172,1400,83,143,1798,17019,1693,119,1464,10,100,0.5
17019000301,3608,181,730,287,4806,17019,4819,3617,198,710,294,0.5
17019000302,1671,201,1325,231,3428,17019,3372,1696,180,1286,210,0.5
17019000401,3799,128,740,185,4852,17019,4843,3800,113,731,199,0.5
17019000402,3207,134,371,215,3927,17019,3931,3222,136,358,215,0.5
17019000500,3139,348,268,229,3984,17019,3919,3163,333,224,199,0.5
17019000700,1375,1418,223,774,3790,17019,3650,1367,1422,125,736,0.5
17019000800,2387,1228,854,398,4867,17019,4844,2411,1246,797,390,0.5
17019000901,1620,2631,225,431,4907,17019,4867,1647,2634,156,430,0.5
17019000902,4162,914,600,357,6033,17019,5786,4170,822,515,279,0.5
17019001000,3310,659,286,234,4489,17019,4510,3473,626,242,169,0.5
17019001100,3015,271,121,140,3547,17019,3599,3159,226,79,135,0.5
17019001201,4098,1487,550,444,6579,17019,6590,4126,1535,523,406,0.5
17019001203,3578,517,321,232,4648,17019,4592,3640,519,249,184,0.5
17019001204,2624,285,615,196,3720,17019,3622,2639,245,619,119,0.5
17019001205,3681,352,895,280,5208,17019,5037,3717,305,796,219,0.5
17019001206,1579,51,145,60,1835,17019,1831,1616,57,122,36,0.5
17019001301,4722,507,590,278,6097,17019,6081,4793,477,567,244,0.5
17019001302,3391,250,507,192,4340,17019,4199,3401,195,475,128,0.5
17019001400,5057,540,1019,498,7114,17019,6877,5032,479,930,436,0.5
17019005300,1535,1927,922,345,4729,17019,4383,1423,1899,804,257,0.5
17019005401,2810,630,388,519,4347,17019,4170,2811,590,314,455,0.5
17019005402,2427,176,184,288,3075,17019,2927,2424,124,110,269,0.5
17019005500,3899,1137,284,431,5751,17019,5635,4058,1079,184,314,0.5
17019005600,4227,1651,577,519,6974,17019,6853,4238,1657,529,429,0.5
17019005701,3506,770,480,349,5105,17019,5066,3572,764,450,280,0.5
17019005702,2155,494,198,135,2982,17019,3015,2177,500,208,130,0.5
17019005800,3307,167,536,208,4218,17019,4194,3357,114,539,184,0.5
17019005900,3834,337,1827,387,6385,17019,6366,3850,310,1842,364,0.5
17019006000,1318,495,1396,268,3477,17019,3308,1277,441,1355,235,0.5
17019010100,3266,868,207,455,4796,17019,4582,3319,842,87,334,0.5
17019010204,2991,827,177,531,4526,17019,4620,3178,852,95,495,0.5
17019010300,2139,1324,115,446,4024,17019,3789,2146,1246,33,364,0.5
17019010400,4187,379,394,548,5508,17019,4809,4518,79,26,186,0.5
17019010500,3941,284,317,321,4863,17019,4371,4270,16,16,69,0.5
17019010601,5225,175,237,219,5856,17019,5549,5338,40,63,108,0.5
17019010603,6516,237,243,239,7235,17019,7144,6739,95,126,184,0.5
17019010604,2625,398,308,365,3696,17019,3151,2761,208,84,98,0.5
17019010700,7342,291,336,454,8423,17019,8057,7866,19,34,138,0.5
17019010800,3935,320,306,297,4858,17019,4534,4443,19,12,60,0.5
17019010900,8194,574,538,698,10004,17019,9302,8831,159,109,203,0.5
17019011000,2885,530,240,205,3860,17019,3809,2927,519,191,172,0.5
17019011100,1294,207,1264,162,2927,17019,2785,1269,162,1244,110,0.5
17021958100,2592,288,307,323,3510,17021,2999,2918,19,16,46,0.5
17021958200,3472,288,311,282,4353,17021,3888,3807,21,10,50,0.5
17021958300,4008,150,135,194,4487,17021,4308,4156,24,31,97,0.5
17021958400,3582,111,118,137,3948,17021,3868,3756,30,15,67,0.5
17021958500,2277,109,102,87,2575,17021,2551,2445,40,18,48,0.5
17021958600,1985,231,295,301,2812,17021,2277,2230,12,18,17,0.5
17021958700,3865,682,281,464,5292,17021,4750,4294,334,14,108,0.5
17021958800,2538,142,93,112,2885,17021,2746,2713,1,10,22,0.5
17021958900,2438,97,165,140,2840,17021,2763,2707,4,23,29,0.5
17021959000,4190,465,431,462,5548,17021,4650,4584,10,12,44,0.5
17023060100,4277,504,495,595,5871,17023,4834,4738,9,19,68,0.5
17023060200,3810,186,196,216,4408,17023,4337,4267,7,15,48,0.5
17023060300,4828,396,414,371,6009,17023,5371,5262,20,15,74,0.5
17023060400,1553,265,252,221,2291,17023,1793,1760,12,6,15,0.5
17025971900,2167,270,302,295,3034,17025,2517,2471,6,6,34,0.5
17025972000,2427,296,303,398,3424,17025,2844,2789,15,10,30,0.5
17025972100,4878,262,252,342,5734,17025,5405,5229,21,42,113,0.5
17025972200,2708,242,252,275,3477,17025,3049,3010,5,5,29,0.5
17027900100,5458,184,231,217,6090,17027,6055,5914,14,38,89,0.5
17027900200,1640,74,68,120,1902,17027,1928,1894,2,1,31,0.5
17027900300,6145,296,316,431,7188,17027,6818,6657,10,23,128,0.5
17027900401,1120,160,185,156,1621,17027,1329,1308,4,2,15,0.5
17027900402,4771,474,393,457,6095,17027,5580,5274,177,36,93,0.5
17027900500,5285,1284,281,541,7391,17027,6799,5469,1028,22,280,0.5
17027900601,2192,80,74,181,2527,17027,2466,2394,8,0,64,0.5
17027900602,6017,351,327,477,7172,17027,6787,6374,95,45,273,0.5
17029000100,2590,383,392,419,3784,17029,2999,2905,35,4,55,0.5
17029000200,5362,540,397,429,6728,17029,6123,5922,66,46,89,0.5
17029000300,4231,226,170,201,4828,17029,4656,4459,107,9,81,0.5
17029000400,2535,195,172,215,3117,17029,2870,2654,66,32,118,0.5
17029000500,5429,377,263,348,6417,17029,6239,5772,233,54,180,0.5
17029000600,3342,262,242,280,4126,17029,3664,3592,26,14,32,0.5
17029000700,6257,340,167,219,6983,17029,6894,6345,261,125,163,0.5
17029000800,4457,924,140,195,5716,17029,5675,4485,908,99,183,0.5
17029000900,3902,172,193,173,4440,17029,4255,3929,136,87,103,0.5
17029001000,3078,147,107,127,3459,17029,3353,3223,53,22,55,0.5
17029001100,3216,208,132,200,3756,17029,3685,3438,114,24,109,0.5
17029001200,3114,158,134,160,3566,17029,3460,3305,62,15,78,0.5
17031010100,1833,2449,157,476,4915,17031,4854,1810,2437,150,457,0.5
17031010201,2285,2340,323,1496,6444,17031,6450,2312,2350,299,1489,0.5
17031010202,1265,910,160,485,2820,17031,2818,1237,953,143,485,0.5
17031010300,3258,1702,356,908,6224,17031,6236,3267,1722,346,901,0.5
17031010400,3329,746,560,391,5026,17031,5042,3341,729,562,410,0.5
17031010501,2013,1294,386,397,4090,17031,4091,2018,1300,383,390,0.5
17031010502,1821,768,243,270,3102,17031,3101,1820,776,239,266,0.5
17031010503,1454,322,323,202,2301,17031,2290,1452,303,331,204,0.5
17031010600,3475,1526,346,790,6137,17031,6097,3459,1542,329,767,0.5
17031010701,2126,749,228,777,3880,17031,3864,2125,761,204,774,0.5
17031010702,2368,1182,328,1301,5179,17031,5143,2381,1155,323,1284,0.5
17031020100,1527,1189,612,637,3965,17031,3965,1529,1182,608,646,0.5
17031020200,4010,666,1408,631,6715,17031,6676,4069,618,1394,595,0.5
17031020301,3948,123,497,221,4789,17031,4750,3965,106,470,209,0.5
17031020302,3036,483,517,598,4634,17031,4650,3051,462,504,633,0.5
17031020400,2257,736,554,653,4200,17031,4168,2266,718,530,654,0.5
17031020500,2159,1216,1674,1122,6171,17031,6214,2167,1221,1684,1142,0.5
17031020601,3882,337,1348,837,6404,17031,6353,3908,304,1317,824,0.5
17031020602,2084,334,1181,716,4315,17031,4340,2084,326,1215,715,0.5
17031020701,1074,105,408,178,1765,17031,1704,1088,42,418,156,0.5
17031020702,3614,614,2089,929,7246,17031,7194,3618,556,2090,930,0.5
17031020801,2938,385,1183,913,5419,17031,5458,2945,386,1184,943,0.5
17031020802,2384,769,2562,1325,7040,17031,6963,2347,746,2561,1309,0.5
17031020901,1839,1077,1231,1143,5290,17031,5221,1839,1061,1182,1139,0.5
17031020902,2113,561,1127,533,4334,17031,4286,2095,564,1123,504,0.5
17031030101,2018,1002,499,379,3898,17031,3893,2017,996,505,375,0.5
17031030102,1910,715,331,274,3230,17031,3204,1898,709,330,267,0.5
17031030103,1146,357,293,133,1929,17031,1928,1150,341,303,134,0.5
17031030104,2404,406,699,183,3692,17031,3681,2398,409,695,179,0.5
17031030200,3908,464,435,544,5351,17031,5369,3918,468,432,551,0.5
17031030300,1712,418,451,743,3324,17031,3322,1716,432,438,736,0.5
17031030400,1819,199,275,371,2664,17031,2684,1818,205,282,379,0.5
17031030500,4327,545,531,999,6402,17031,6395,4386,533,506,970,0.5
17031030601,2180,1050,425,364,4019,17031,4012,2179,1050,424,359,0.5
17031030603,1032,610,189,261,2092,17031,2095,1031,617,178,269,0.5
17031030604,1588,608,583,222,3001,17031,2976,1592,602,569,213,0.5
17031030701,818,404,121,201,1544,17031,1549,827,405,120,197,0.5
17031030702,1011,170,362,96,1639,17031,1630,1006,170,362,92,0.5
17031030703,1729,578,253,250,2810,17031,2830,1717,586,265,262,0.5
17031030706,2367,515,476,246,3604,17031,3599,2373,504,460,262,0.5
17031030800,3312,212,462,333,4319,17031,4326,3333,194,468,331,0.5
17031030900,2160,168,335,388,3051,17031,3028,2216,116,322,374,0.5
17031031000,2661,180,268,547,3656,17031,3656,2674,166,275,541,0.5
17031031100,3066,213,748,409,4436,17031,4402,3053,215,740,394,0.5
17031031200,2172,1688,1076,710,5646,17031,5648,2168,1661,1107,712,0.5
17031031300,3598,1491,1442,499,7030,17031,7076,3590,1519,1449,518,0.5
17031031400,4098,479,413,225,5215,17031,5150,4066,463,387,234,0.5
17031031501,1597,1188,941,360,4086,17031,4083,1593,1181,948,361,0.5
17031031502,1572,1957,342,486,4357,17031,4354,1571,1952,352,479,0.5
17031031700,3819,1458,316,971,6564,17031,6570,3811,1469,327,963,0.5
17031031800,1373,75,122,254,1824,17031,1820,1371,77,116,256,0.5
17031031900,1785,177,135,208,2305,17031,2304,1793,165,121,225,0.5
17031032100,4876,1211,364,589,7040,17031,7052,4866,1217,386,583,0.5
17031040100,2792,259,348,704,4103,17031,3985,2792,185,326,682,0.5
17031040201,4453,208,631,837,6129,17031,6218,4513,184,632,889,0.5
17031040202,4197,570,1645,849,7261,17031,7249,4201,564,1621,863,0.5
17031040300,1961,139,666,307,3073,17031,3069,1984,121,683,281,0.5
17031040401,2331,72,304,453,3160,17031,3092,2369,51,261,411,0.5
17031040402,3449,150,312,563,4474,17031,4468,3493,139,280,556,0.5
17031040600,2006,54,145,226,2431,17031,2434,2034,49,117,234,0.5
17031040700,2514,113,218,345,3190,17031,3123,2471,103,198,351,0.5
17031040800,1208,72,103,105,1488,17031,1514,1221,77,98,118,0.5
17031040900,1585,50,83,176,1894,17031,1950,1634,37,86,193,0.5
17031050100,1953,60,93,175,2281,17031,2290,1976,39,105,170,0.5
17031050200,3976,179,329,367,4851,17031,4837,4040,124,310,363,0.5
17031050300,1967,57,143,209,2376,17031,2365,1982,44,133,206,0.5
17031050500,4100,103,211,280,4694,17031,4754,4203,73,216,262,0.5
17031050600,1802,70,104,111,2087,17031,2071,1850,34,77,110,0.5
17031050700,1236,30,49,77,1392,17031,1418,1256,31,52,79,0.5
17031050800,1108,22,58,62,1250,17031,1289,1139,10,69,71,0.5
17031050900,1142,32,77,101,1352,17031,1391,1167,26,73,125,0.5
17031051000,1302,38,75,135,1550,17031,1503,1289,31,57,126,0.5
17031051100,1327,53,84,113,1577,17031,1556,1367,32,58,99,0.5
17031051200,1360,29,51,104,1544,17031,1516,1355,28,29,104,0.5
17031051300,2311,65,124,195,2695,17031,2683,2340,41,104,198,0.5
17031051400,1509,221,136,262,2128,17031,2077,1518,192,106,261,0.5
17031060100,2236,89,76,196,2597,17031,2569,2236,77,76,180,0.5
17031060200,1616,88,105,285,2094,17031,2111,1635,85,89,302,0.5
17031060300,2467,72,192,127,2858,17031,2839,2509,49,153,128,0.5
17031060400,2978,103,151,160,3392,17031,3370,3036,51,130,153,0.5
17031060500,993,81,139,74,1287,17031,1309,1001,80,143,85,0.5
17031060800,3714,336,517,277,4844,17031,4837,3716,325,522,274,0.5
17031060900,5422,603,477,388,6890,17031,6867,5421,579,487,380,0.5
17031061000,1474,38,51,64,1627,17031,1647,1481,30,56,80,0.5
17031061100,1270,22,43,35,1370,17031,1379,1276,18,46,39,0.5
17031061200,1661,28,73,82,1844,17031,1889,1708,29,68,84,0.5
17031061500,1559,30,77,73,1739,17031,1707,1562,22,71,52,0.5
17031061800,887,78,61,63,1089,17031,1112,889,78,80,65,0.5
17031061901,2805,192,290,135,3422,17031,3433,2811,186,295,141,0.5
17031061902,3643,162,321,186,4312,17031,4240,3616,158,292,174,0.5
17031062000,2253,77,140,98,2568,17031,2569,2251,75,145,98,0.5
