geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001000100,4413,67,47,112,4639,17001,4627,4412,62,45,108,10.0
17001000201,1881,54,9,42,1986,17001,1986,1882,53,9,42,10.0
17001000202,2689,216,14,83,3002,17001,2999,2688,215,14,82,10.0
17001000400,3525,585,17,200,4327,17001,4322,3527,582,13,200,10.0
17001000500,1871,379,8,79,2337,17001,2337,1872,380,6,79,10.0
17001000600,3453,128,48,88,3717,17001,3718,3456,128,46,88,10.0
17001000700,1276,155,12,42,1485,17001,1481,1278,153,9,41,10.0
17001000800,2319,184,11,200,2714,17001,2711,2317,184,11,199,10.0
17001000900,2381,104,14,76,2575,17001,2573,2381,102,14,76,10.0
17001001001,3243,58,21,72,3394,17001,3391,3241,58,20,72,10.0
17001001002,3107,61,11,45,3224,17001,3223,3107,61,11,44,10.0
17001001100,6780,189,169,119,7257,17001,7257,6782,188,169,118,10.0
17001010100,4393,14,7,35,4449,17001,4451,4404,11,4,32,10.0
17001010200,3664,14,7,45,3730,17001,3720,3661,9,6,44,10.0
17001010300,5806,18,9,62,5895,17001,5890,5821,10,3,56,10.0
17001010400,3470,22,14,56,3562,17001,3553,3469,19,14,51,10.0
17001010500,2880,50,18,44,2992,17001,2989,2879,48,17,45,10.0
17001010600,5691,75,31,90,5887,17001,5875,5691,68,30,86,10.0
17003957600,2290,473,5,159,2927,17003,2928,2296,473,3,156,10.0
17003957700,1787,330,4,56,2177,17003,2172,1787,330,1,54,10.0
17003957800,563,926,11,38,1538,17003,1528,562,925,7,34,10.0
17003957900,374,1188,9,48,1619,17003,1610,373,1187,5,45,10.0
17005951200,3032,145,5,40,3222,17005,3216,3037,139,4,36,10.0
17005951300,5651,913,49,349,6962,17005,6958,5653,910,49,346,10.0
17005951400,3083,10,9,51,3153,17005,3146,3087,6,5,48,10.0
17005951500,4349,33,12,49,4443,17005,4448,4366,25,10,47,10.0
17007010100,6554,261,60,1685,8560,17007,8562,6557,262,57,1686,10.0
17007010200,4655,79,38,1335,6107,17007,6105,4661,78,34,1332,10.0
17007010300,5290,167,46,1132,6635,17007,6631,5289,167,45,1130,10.0
17007010400,5785,157,117,787,6846,17007,6841,5788,155,114,784,10.0
17007010500,9368,109,201,506,10184,17007,10185,9375,107,197,506,10.0
17007010601,3456,30,10,374,3870,17007,3859,3455,25,9,370,10.0
17007010602,10600,273,234,887,11994,17007,11982,10599,270,230,883,10.0
17009970400,2567,17,10,32,2626,17009,2606,2573,4,3,26,10.0
17009970500,2704,1278,14,341,4337,17009,4331,2703,1276,13,339,10.0
17011964700,2993,12,6,64,3075,17011,3072,3002,9,3,58,10.0
17011964800,3429,13,17,50,3509,17011,3496,3433,6,12,45,10.0
17011964900,2711,17,26,66,2820,17011,2815,2715,16,24,60,10.0
17011965000,3340,43,42,663,4088,17011,4078,3352,32,37,657,10.0
17011965100,3830,44,24,261,4159,17011,4152,3831,42,22,257,10.0
17011965200,3275,49,28,257,3609,17011,3600,3274,48,25,253,10.0
17011965300,3315,14,33,71,3433,17011,3429,3316,14,31,68,10.0
17011965400,3399,22,46,78,3545,17011,3549,3407,20,45,77,10.0
17011965500,3663,12,24,64,3763,17011,3759,3668,10,20,61,10.0
17011965600,2925,23,14,73,3035,17011,3028,2939,15,9,65,10.0
17013951200,2639,13,13,24,2689,17013,2681,2640,7,11,23,10.0
17013951300,2385,1,5,16,2407,17013,2408,2392,0,1,15,10.0
17015960100,3515,12,15,41,3583,17015,3578,3523,7,12,36,10.0
17015960200,2102,22,11,46,2181,17015,2165,2099,21,4,41,10.0
17015960300,2982,61,7,129,3179,17015,3176,2985,59,3,129,10.0
17015960400,2184,7,17,23,2231,17015,2234,2193,5,16,20,10.0
17015960500,2575,7,17,44,2643,17015,2636,2578,5,15,38,10.0
17015960600,1527,28,5,44,1604,17015,1598,1528,26,3,41,10.0
17017960100,2352,14,8,29,2403,17017,2403,2363,12,4,24,10.0
17017960200,2590,11,9,51,2661,17017,2655,2595,9,6,45,10.0
17017960300,2894,66,23,325,3308,17017,3294,2892,64,15,323,10.0
17017960400,1946,133,13,458,2550,17017,2548,1946,132,12,458,10.0
17017960500,1965,205,10,559,2739,17017,2742,1973,202,7,560,10.0
17019000200,118,1464,10,100,1692,17019,1693,119,1464,10,100,10.0
17019000301,3615,198,710,294,4817,17019,4819,3617,198,710,294,10.0
17019000302,1696,178,1287,208,3369,17019,3372,1696,180,1286,210,10.0
17019000401,3800,114,731,198,4843,17019,4843,3800,113,731,199,10.0
17019000402,3222,136,359,216,3933,17019,3931,3222,136,358,215,10.0
17019000500,3163,333,223,200,3919,17019,3919,3163,333,224,199,10.0
17019000700,1366,1423,128,735,3652,17019,3650,1367,1422,125,736,10.0
17019000800,2409,1246,798,390,4843,17019,4844,2411,1246,797,390,10.0
17019000901,1645,2634,158,430,4867,17019,4867,1647,2634,156,430,10.0
17019000902,4169,823,517,276,5785,17019,5786,4170,822,515,279,10.0
17019001000,3473,623,242,168,4506,17019,4510,3473,626,242,169,10.0
17019001100,3163,227,80,135,3605,17019,3599,3159,226,79,135,10.0
17019001201,4126,1534,523,408,6591,17019,6590,4126,1535,523,406,10.0
