geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,62866,2329,442,1465,67102,17,67103,62868,2331,441,1463,18.0
17003,5019,2914,16,291,8240,17,8238,5018,2915,16,289,18.0
17005,16144,1079,70,477,17770,17,17768,16143,1080,68,477,18.0
17007,45725,1065,686,6692,54168,17,54165,45724,1064,686,6691,18.0
17009,5276,1280,16,366,6938,17,6937,5276,1280,16,365,18.0
17011,32933,215,230,1602,34980,17,34978,32937,212,228,1601,18.0
17013,5032,7,13,38,5090,17,5089,5032,7,12,38,18.0
17015,14903,123,55,306,15387,17,15387,14906,123,53,305,18.0
17017,11769,421,44,1410,13644,17,13642,11769,419,44,1410,18.0
17019,147597,24952,17975,10570,201094,17,201081,147600,24946,17969,10566,18.0
17021,33605,498,168,531,34802,17,34800,33610,495,167,528,18.0
17023,16026,50,55,206,16337,17,16335,16027,48,55,205,18.0
17025,13498,48,64,206,13816,17,13815,13499,47,63,206,18.0
17027,35283,1340,170,973,37766,17,37762,35284,1338,167,973,18.0
17029,50026,2068,532,1248,53874,17,53873,50029,2067,531,1246,18.0
17031,2877199,1287793,322715,707050,5194757,17,5194675,2877212,1287767,322672,707024,18.0
17033,18377,933,105,400,19815,17,19817,18381,934,103,399,18.0
17035,10855,39,29,127,11050,17,11048,10856,38,27,127,18.0
17037,89454,6733,2440,6541,105168,17,105160,89453,6732,2438,6537,18.0
17039,16032,87,61,381,16561,17,16561,16035,87,60,379,18.0
17041,19115,60,84,726,19985,17,19980,19113,58,83,726,18.0
17043,714142,42355,92307,68141,916945,17,916924,714140,42346,92304,68134,18.0
17045,18268,66,36,213,18583,17,18576,18268,64,33,211,18.0
17047,6584,31,22,84,6721,17,6721,6584,30,22,85,18.0
17049,33427,80,149,590,34246,17,34242,33429,79,147,587,18.0
17051,20747,982,54,363,22146,17,22140,20750,980,51,359,18.0
17053,13679,86,40,284,14089,17,14081,13677,85,37,282,18.0
17055,38641,126,127,676,39570,17,39561,38641,123,124,673,18.0
17057,34619,1270,115,1064,37068,17,37069,34625,1269,112,1063,18.0
17059,5472,12,5,99,5588,17,5589,5473,12,5,99,18.0
17061,13588,121,17,164,13890,17,13886,13588,119,16,163,18.0
17063,46928,608,331,2201,50068,17,50063,46933,605,327,2198,18.0
17065,8304,31,20,104,8459,17,8457,8305,31,19,102,18.0
17067,18720,52,46,285,19103,17,19104,18723,52,46,283,18.0
17069,4205,14,22,80,4321,17,4320,4205,13,22,80,18.0
17071,7197,16,16,104,7333,17,7331,7198,15,15,103,18.0
17073,47846,796,194,1654,50490,17,50486,47846,796,191,1653,18.0
17075,28152,235,105,1230,29722,17,29718,28155,233,103,1227,18.0
17077,46880,8590,1913,2846,60229,17,60218,46875,8589,1910,2844,18.0
17079,9563,13,24,101,9701,17,9698,9564,11,24,99,18.0
17081,34310,3251,248,1017,38826,17,38827,34315,3251,246,1015,18.0
17083,22430,96,77,384,22987,17,22985,22431,93,77,384,18.0
17085,22045,108,73,454,22680,17,22678,22046,107,72,453,18.0
17087,11195,1006,23,358,12582,17,12582,11197,1006,22,357,18.0
17089,384551,29426,17900,83407,515284,17,515269,384548,29422,17895,83404,18.0
17091,87983,17188,1053,7223,113447,17,113449,87986,17187,1052,7224,18.0
17093,95888,6586,3467,8795,114736,17,114736,95891,6585,3467,8793,18.0
17095,46324,3811,341,2445,52921,17,52919,46329,3810,338,2442,18.0
17097,528196,49035,44362,81873,703466,17,703462,528204,49033,44358,81867,18.0
17099,106175,2188,763,4794,113920,17,113924,106187,2186,762,4789,18.0
17101,14693,1608,38,491,16830,17,16833,14696,1608,38,491,18.0
17103,32740,1734,249,1305,36028,17,36031,32745,1735,246,1305,18.0
17105,35754,1921,202,1089,38966,17,38950,35752,1915,199,1084,18.0
17107,27006,2286,188,826,30306,17,30305,27008,2285,184,828,18.0
17109,29476,1643,580,916,32615,17,32612,29476,1642,580,914,18.0
17111,278252,3287,7810,19419,308768,17,308760,278257,3283,7807,19413,18.0
17113,142928,12429,7229,6983,169569,17,169572,142940,12426,7227,6979,18.0
17115,87854,18029,1119,3769,110771,17,110768,87855,18027,1118,3768,18.0
17117,46596,361,132,683,47772,17,47765,46596,359,129,681,18.0
17119,237643,21237,2259,8156,269295,17,269282,237641,21235,2254,8152,18.0
17121,36729,1559,226,923,39437,17,39437,36734,1557,224,922,18.0
17123,12268,46,45,281,12640,17,12640,12271,44,45,280,18.0
17125,14385,55,41,190,14671,17,14666,14382,54,40,190,18.0
17127,14033,904,42,451,15430,17,15429,14033,904,42,450,18.0
17129,12382,76,32,218,12708,17,12705,12383,76,30,216,18.0
17131,16153,48,55,183,16439,17,16434,16153,47,52,182,18.0
17133,32288,69,144,457,32958,17,32957,32287,69,144,457,18.0
17135,28628,953,113,411,30105,17,30104,28632,952,111,409,18.0
17137,32321,2122,169,936,35548,17,35547,32321,2122,168,936,18.0
17139,14621,41,32,152,14846,17,14846,14622,41,31,152,18.0
17141,49860,482,254,2899,53495,17,53497,49867,483,250,2897,18.0
17143,138799,33031,5856,8809,186495,17,186494,138800,33030,5856,8808,18.0
17145,19655,1868,88,741,22352,17,22350,19656,1866,87,741,18.0
17147,16392,59,51,228,16730,17,16729,16393,58,51,227,18.0
17149,15929,277,38,192,16436,17,16430,15928,275,38,189,18.0
17151,4100,269,11,92,4472,17,4470,4098,269,11,92,18.0
17153,3964,1995,13,189,6161,17,6161,3965,1994,13,189,18.0
17155,5802,33,13,158,6006,17,6006,5803,32,13,158,18.0
17157,29316,3262,106,793,33477,17,33476,29318,3263,104,791,18.0
17159,15794,78,120,241,16233,17,16233,15795,78,119,241,18.0
17161,120381,13290,2420,11455,147546,17,147546,120382,13289,2419,11456,18.0
17163,174454,82306,3285,10024,270069,17,270056,174458,82302,3276,10020,18.0
17165,23179,998,103,641,24921,17,24913,23178,995,101,639,18.0
17167,165103,23340,3225,5813,197481,17,197465,165103,23335,3220,5807,18.0
17169,7202,244,10,87,7543,17,7544,7205,243,9,87,18.0
17171,5279,9,12,55,5355,17,5355,5279,9,12,55,18.0
17173,22042,51,56,213,22362,17,22363,22045,50,56,212,18.0
17175,5855,28,19,92,5994,17,5994,5855,28,19,92,18.0
17177,41290,4276,298,1847,47711,17,47711,41291,4275,297,1848,18.0
17179,130220,1380,1002,2802,135404,17,135394,130225,1374,999,2796,18.0
17181,16879,156,57,718,17810,17,17808,16880,156,54,718,18.0
17183,67314,10577,564,3169,81624,17,81625,67323,10571,564,3167,18.0
