geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,237251,207965,202916,193497,841629,17,67103,62868,2331,441,1463,0.01
17003,57442,57742,58075,53076,226335,17,8238,5018,2915,16,289,0.01
17005,85190,80236,82346,80479,328251,17,17768,16143,1080,68,477,0.01
17007,120023,85208,89650,92612,387493,17,54165,45724,1064,686,6691,0.01
17009,60155,52648,55306,58995,227104,17,6937,5276,1280,16,365,0.01
17011,225815,199970,200252,203859,829896,17,34978,32937,212,228,1601,0.01
17013,40621,33692,31743,35091,141147,17,5089,5032,7,12,38,0.01
17015,111130,98655,92339,98681,400805,17,15387,14906,123,53,305,0.01
17017,97657,91206,88666,91541,369070,17,13642,11769,419,44,1410,0.01
17019,457588,363827,372321,376179,1569915,17,201081,147600,24946,17969,10566,0.01
17021,172480,167222,160595,169856,670153,17,34800,33610,495,167,528,0.01
17023,110868,103316,108020,100930,423134,17,16335,16027,48,55,205,0.01
17025,92513,84644,73183,77124,327464,17,13815,13499,47,63,206,0.01
17027,149017,127414,119594,129411,525436,17,37762,35284,1338,167,973,0.01
17029,182921,151165,143544,150794,628424,17,53873,50029,2067,531,1246,0.01
17031,6851272,5833472,5143434,5324816,23152994,17,5194675,2877212,1287767,322672,707024,0.01
17033,114057,106684,99328,102416,422485,17,19817,18381,934,103,399,0.01
17035,75735,72705,74030,70292,292762,17,11048,10856,38,27,127,0.01
17037,277108,209035,201777,190962,878882,17,105160,89453,6732,2438,6537,0.01
17039,103559,102420,88542,103651,398172,17,16561,16035,87,60,379,0.01
17041,128035,115149,119132,131897,494213,17,19980,19113,58,83,726,0.01
17043,1370685,882169,938743,908225,4099822,17,916924,714140,42346,92304,68134,0.01
17045,167999,183019,171063,170057,692138,17,18576,18268,64,33,211,0.01
17047,41198,42578,40003,37010,160789,17,6721,6584,30,22,85,0.01
17049,141572,126408,116794,123899,508673,17,34242,33429,79,147,587,0.01
17051,153276,144133,135141,138023,570573,17,22140,20750,980,51,359,0.01
17053,91938,79221,86002,83923,341084,17,14081,13677,85,37,282,0.01
17055,221992,192627,196193,194340,805152,17,39561,38641,123,124,673,0.01
17057,191426,173222,164941,174060,703649,17,37069,34625,1269,112,1063,0.01
17059,48165,50096,47008,53225,198494,17,5589,5473,12,5,99,0.01
17061,92308,90292,82851,89045,354496,17,13886,13588,119,16,163,0.01
17063,262187,236671,245273,239820,983951,17,50063,46933,605,327,2198,0.01
17065,68747,63279,65517,59056,256599,17,8457,8305,31,19,102,0.01
17067,137264,121370,129542,129624,517800,17,19104,18723,52,46,283,0.01
17069,26079,25710,26798,27872,106459,17,4320,4205,13,22,80,0.01
17071,74541,60160,73256,66496,274453,17,7331,7198,15,15,103,0.01
17073,203043,174310,171594,162873,711820,17,50486,47846,796,191,1653,0.01
17075,202637,193107,186396,179415,761555,17,29718,28155,233,103,1227,0.01
17077,221695,181685,195159,191019,789558,17,60218,46875,8589,1910,2844,0.01
17079,72986,62913,71218,66946,274063,17,9698,9564,11,24,99,0.01
17081,167735,160423,152387,147244,627789,17,38827,34315,3251,246,1015,0.01
17083,74100,67193,62894,61305,265492,17,22985,22431,93,77,384,0.01
17085,115969,103213,113118,107995,440295,17,22678,22046,107,72,453,0.01
17087,77485,71122,69649,66092,284348,17,12582,11197,1006,22,357,0.01
17089,805313,552157,531510,571608,2460588,17,515269,384548,29422,17895,83404,0.01
17091,263558,227870,212848,221371,925647,17,113449,87986,17187,1052,7224,0.01
17093,262668,199852,192802,192915,848237,17,114736,95891,6585,3467,8793,0.01
17095,190656,157997,154815,162210,665678,17,52919,46329,3810,338,2442,0.01
17097,1141143,837417,804973,847582,3631115,17,703462,528204,49033,44358,81867,0.01
17099,402558,335224,335248,337947,1410977,17,113924,106187,2186,762,4789,0.01
17101,96439,81393,82866,84091,344789,17,16833,14696,1608,38,491,0.01
17103,162036,151575,149226,150251,613088,17,36031,32745,1735,246,1305,0.01
17105,243360,231094,231689,242634,948777,17,38950,35752,1915,199,1084,0.01
17107,180795,164534,153708,164124,663161,17,30305,27008,2285,184,828,0.01
17109,131398,109644,116956,113767,471765,17,32612,29476,1642,580,914,0.01
17111,593543,397939,412108,413896,1817486,17,308760,278257,3283,7807,19413,0.01
17113,447249,340082,342942,336525,1466798,17,169572,142940,12426,7227,6979,0.01
17115,276208,245243,231945,222288,975684,17,110768,87855,18027,1118,3768,0.01
17117,255451,214022,208913,224823,903209,17,47765,46596,359,129,681,0.01
17119,702986,548666,534380,541402,2327434,17,269282,237641,21235,2254,8152,0.01
17121,216727,194969,188939,198318,798953,17,39437,36734,1557,224,922,0.01
17123,107820,95327,92718,93514,389379,17,12640,12271,44,45,280,0.01
17125,109115,94371,99678,98522,401686,17,14666,14382,54,40,190,0.01
17127,66383,62071,63133,60060,251647,17,15429,14033,904,42,450,0.01
17129,65070,53476,61575,61637,241758,17,12705,12383,76,30,216,0.01
17131,96468,86472,84764,92230,359934,17,16434,16153,47,52,182,0.01
17133,108829,82350,81813,82316,355308,17,32957,32287,69,144,457,0.01
17135,195226,183861,178772,178515,736374,17,30104,28632,952,111,409,0.01
17137,136405,121221,115828,115184,488638,17,35547,32321,2122,168,936,0.01
17139,75372,74314,78556,77140,305382,17,14846,14622,41,31,152,0.01
17141,200043,175519,179830,174583,729975,17,53497,49867,483,250,2897,0.01
17143,366508,297183,291360,296519,1251570,17,186494,138800,33030,5856,8808,0.01
17145,94580,85228,76248,86566,342622,17,22350,19656,1866,87,741,0.01
17147,106971,86561,99441,83916,376889,17,16729,16393,58,51,227,0.01
17149,156486,156671,137152,153978,604287,17,16430,15928,275,38,189,0.01
17151,28632,30536,29432,25247,113847,17,4470,4098,269,11,92,0.01
17153,55927,56675,46822,49136,208560,17,6161,3965,1994,13,189,0.01
17155,33817,35661,31941,33551,134970,17,6006,5803,32,13,158,0.01
17157,158469,138258,137794,139667,574188,17,33476,29318,3263,104,791,0.01
17159,80856,60558,66821,66607,274842,17,16233,15795,78,119,241,0.01
17161,327643,241997,230338,242325,1042303,17,147546,120382,13289,2419,11456,0.01
17163,637142,573683,537304,533709,2281838,17,270056,174458,82302,3276,10020,0.01
17165,136811,116444,119873,115630,488758,17,24913,23178,995,101,639,0.01
17167,536626,452873,448948,448339,1886786,17,197465,165103,23335,3220,5807,0.01
17169,59678,55719,62482,51006,228885,17,7544,7205,243,9,87,0.01
17171,46224,45138,47037,39687,178086,17,5355,5279,9,12,55,0.01
17173,192956,180827,179356,174301,727440,17,22363,22045,50,56,212,0.01
17175,39275,36517,42729,41283,159804,17,5994,5855,28,19,92,0.01
17177,151059,126120,133044,127519,537742,17,47711,41291,4275,297,1848,0.01
17179,416078,314686,321583,309399,1361746,17,135394,130225,1374,999,2796,0.01
17181,84666,73093,73456,75536,306751,17,17808,16880,156,54,718,0.01
17183,410604,369843,380931,376589,1537967,17,81625,67323,10571,564,3167,0.01
17185,92102,97599,99782,96346,385829,17,11947,11576,77,70,224,0.01
17187,109250,90947,88195,98880,387272,17,17707,16165,303,94,1145,0.01
17189,94653,77373,85325,80943,338294,17,14716,14376,101,42,197,0.01
17191,110720,96628,100287,101382,409017,17,16760,16427,42,71,220,0.01
17193,150166,153623,150539,140597,594925,17,14665,14393,56,31,185,0.01
17195,266291,238491,242893,235699,983374,17,58498,53923,781,276,3518,0.01
17197,1080167,785229,747994,747570,3360960,17,677560,514664,75743,30833,56320,0.01
17199,258357,231334,221890,226356,937937,17,66357,61542,2540,561,1714,0.01
17201,635453,486803,478028,488513,2088797,17,295266,228652,36108,6810,23696,0.01
17203,182695,148685,145473,150159,627012,17,38664,37643,187,213,621,0.01
