geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001000100,12613,11735,10028,8956,43332,17001,4627,4412,62,45,108,0.01
17001000201,4611,2963,3979,3503,15056,17001,1986,1882,53,9,42,0.01
17001000202,5267,2934,2481,2371,13053,17001,2999,2688,215,14,82,0.01
17001000400,12920,11015,10127,9672,43734,17001,4322,3527,582,13,200,0.01
17001000500,3967,3485,1685,3123,12260,17001,2337,1872,380,6,79,0.01
17001000600,7357,5322,4643,3442,20764,17001,3718,3456,128,46,88,0.01
17001000700,4502,5561,3974,3842,17879,17001,1481,1278,153,9,41,0.01
17001000800,6672,7570,4878,7401,26521,17001,2711,2317,184,11,199,0.01
17001000900,5004,2137,4563,2499,14203,17001,2573,2381,102,14,76,0.01
17001001001,5358,4593,4363,3380,17694,17001,3391,3241,58,20,72,0.01
17001001002,6976,4679,4459,5380,21494,17001,3223,3107,61,11,44,0.01
17001001100,13904,9078,9244,10085,42311,17001,7257,6782,188,169,118,0.01
17001010100,35288,31511,31728,33455,131982,17001,4451,4404,11,4,32,0.01
17001010200,27203,27977,25228,24789,105197,17001,3720,3661,9,6,44,0.01
17001010300,35477,35079,37939,30523,139018,17001,5890,5821,10,3,56,0.01
17001010400,18562,14071,16147,14167,62947,17001,3553,3469,19,14,51,0.01
17001010500,10634,8639,10330,8614,38217,17001,2989,2879,48,17,45,0.01
17001010600,20936,19616,17120,18295,75967,17001,5875,5691,68,30,86,0.01
17003957600,20367,18399,17626,17400,73792,17003,2928,2296,473,3,156,0.01
17003957700,18018,15384,16000,15442,64844,17003,2172,1787,330,1,54,0.01
17003957800,13451,13567,16174,12844,56036,17003,1528,562,925,7,34,0.01
17003957900,5606,10392,8275,7390,31663,17003,1610,373,1187,5,45,0.01
17005951200,19862,17881,20466,15722,73931,17005,3216,3037,139,4,36,0.01
17005951300,21992,19811,16738,19108,77649,17005,6958,5653,910,49,346,0.01
17005951400,18719,18362,19641,17969,74691,17005,3146,3087,6,5,48,0.01
17005951500,24617,24182,25501,27680,101980,17005,4448,4366,25,10,47,0.01
17007010100,16338,12217,12342,12803,53700,17007,8562,6557,262,57,1686,0.01
17007010200,10248,7053,10300,9747,37348,17007,6105,4661,78,34,1332,0.01
17007010300,8538,7175,6297,6201,28211,17007,6631,5289,167,45,1130,0.01
17007010400,27327,17593,19236,22052,86208,17007,6841,5788,155,114,784,0.01
17007010500,19769,13268,14276,12103,59416,17007,10185,9375,107,197,506,0.01
17007010601,15190,12545,11080,14357,53172,17007,3859,3455,25,9,370,0.01
17007010602,22613,15357,16119,15349,69438,17007,11982,10599,270,230,883,0.01
17009970400,44514,39748,37855,44372,166489,17009,2606,2573,4,3,26,0.01
17009970500,15641,12900,17451,14623,60615,17009,4331,2703,1276,13,339,0.01
17011964700,19026,21030,18951,18058,77065,17011,3072,3002,9,3,58,0.01
17011964800,31914,30359,28049,25145,115467,17011,3496,3433,6,12,45,0.01
17011964900,19340,17839,17932,17051,72162,17011,2815,2715,16,24,60,0.01
17011965000,38758,32420,31364,37155,139697,17011,4078,3352,32,37,657,0.01
17011965100,17570,14348,16258,17297,65473,17011,4152,3831,42,22,257,0.01
17011965200,13459,11018,10625,11964,47066,17011,3600,3274,48,25,253,0.01
17011965300,14325,13284,11374,13720,52703,17011,3429,3316,14,31,68,0.01
17011965400,8819,6079,6782,7953,29633,17011,3549,3407,20,45,77,0.01
17011965500,26536,24173,24734,24609,100052,17011,3759,3668,10,20,61,0.01
17011965600,36068,29420,34183,30907,130578,17011,3028,2939,15,9,65,0.01
17013951200,24604,19750,17385,21130,82869,17013,2681,2640,7,11,23,0.01
17013951300,16017,13942,14358,13961,58278,17013,2408,2392,0,1,15,0.01
17015960100,21759,23335,18395,21211,84700,17015,3578,3523,7,12,36,0.01
17015960200,23276,22031,25373,21796,92476,17015,2165,2099,21,4,41,0.01
17015960300,15116,11784,13568,11900,52368,17015,3176,2985,59,3,129,0.01
17015960400,15966,12881,10446,12318,51611,17015,2234,2193,5,16,20,0.01
17015960500,24078,19630,15654,20365,79727,17015,2636,2578,5,15,38,0.01
17015960600,10935,8994,8903,11091,39923,17015,1598,1528,26,3,41,0.01
17017960100,27351,26544,22456,23688,100039,17017,2403,2363,12,4,24,0.01
17017960200,20894,16005,17935,21010,75844,17017,2655,2595,9,6,45,0.01
17017960300,26196,25039,23223,23037,97495,17017,3294,2892,64,15,323,0.01
17017960400,10842,10719,11528,10233,43322,17017,2548,1946,132,12,458,0.01
17017960500,12374,12899,13524,13573,52370,17017,2742,1973,202,7,560,0.01
17019000200,5880,5013,5429,5453,21775,17019,1693,119,1464,10,100,0.01
17019000301,3908,1800,1184,2542,9434,17019,4819,3617,198,710,294,0.01
17019000302,2486,3427,3818,2582,12313,17019,3372,1696,180,1286,210,0.01
17019000401,3750,1234,995,1204,7183,17019,4843,3800,113,731,199,0.01
17019000402,3140,1157,1288,1273,6858,17019,3931,3222,136,358,215,0.01
17019000500,5243,3483,4068,4057,16851,17019,3919,3163,333,224,199,0.01
17019000700,6252,7670,5598,5749,25269,17019,3650,1367,1422,125,736,0.01
17019000800,6810,6570,5758,7584,26722,17019,4844,2411,1246,797,390,0.01
17019000901,6559,4132,3505,4792,18988,17019,4867,1647,2634,156,430,0.01
17019000902,9931,8908,8566,8111,35516,17019,5786,4170,822,515,279,0.01
17019001000,7821,4302,5238,5413,22774,17019,4510,3473,626,242,169,0.01
17019001100,6284,6217,4917,4165,21583,17019,3599,3159,226,79,135,0.01
17019001201,8762,5260,4217,5139,23378,17019,6590,4126,1535,523,406,0.01
17019001203,5967,5465,6391,5792,23615,17019,4592,3640,519,249,184,0.01
17019001204,5462,2854,5603,3529,17448,17019,3622,2639,245,619,119,0.01
