geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001000100,4411,62,46,109,4628,17001,4627,4412,62,45,108,10.0
17001000201,1882,53,9,42,1986,17001,1986,1882,53,9,42,10.0
17001000202,2688,215,14,82,2999,17001,2999,2688,215,14,82,10.0
17001000400,3527,583,14,201,4325,17001,4322,3527,582,13,200,10.0
17001000500,1872,380,7,79,2338,17001,2337,1872,380,6,79,10.0
17001000600,3457,127,46,88,3718,17001,3718,3456,128,46,88,10.0
17001000700,1278,153,10,43,1484,17001,1481,1278,153,9,41,10.0
17001000800,2317,184,11,200,2712,17001,2711,2317,184,11,199,10.0
17001000900,2382,102,14,76,2574,17001,2573,2381,102,14,76,10.0
17001001001,3240,58,20,72,3390,17001,3391,3241,58,20,72,10.0
17001001002,3107,62,11,44,3224,17001,3223,3107,61,11,44,10.0
17001001100,6782,189,169,118,7258,17001,7257,6782,188,169,118,10.0
17001010100,4407,11,5,32,4455,17001,4451,4404,11,4,32,10.0
17001010200,3662,10,6,45,3723,17001,3720,3661,9,6,44,10.0
17001010300,5821,13,4,56,5894,17001,5890,5821,10,3,56,10.0
17001010400,3468,20,15,52,3555,17001,3553,3469,19,14,51,10.0
17001010500,2882,48,19,45,2994,17001,2989,2879,48,17,45,10.0
17001010600,5691,69,30,87,5877,17001,5875,5691,68,30,86,10.0
17003957600,2297,473,6,159,2935,17003,2928,2296,473,3,156,10.0
17003957700,1787,332,2,52,2173,17003,2172,1787,330,1,54,10.0
17003957800,563,925,10,35,1533,17003,1528,562,925,7,34,10.0
17003957900,374,1187,5,45,1611,17003,1610,373,1187,5,45,10.0
17005951200,3039,140,6,36,3221,17005,3216,3037,139,4,36,10.0
17005951300,5655,912,49,345,6961,17005,6958,5653,910,49,346,10.0
17005951400,3089,7,5,50,3151,17005,3146,3087,6,5,48,10.0
17005951500,4365,27,13,52,4457,17005,4448,4366,25,10,47,10.0
17007010100,6557,263,58,1686,8564,17007,8562,6557,262,57,1686,10.0
17007010200,4661,78,34,1332,6105,17007,6105,4661,78,34,1332,10.0
17007010300,5289,168,45,1130,6632,17007,6631,5289,167,45,1130,10.0
17007010400,5790,155,114,785,6844,17007,6841,5788,155,114,784,10.0
17007010500,9374,107,198,507,10186,17007,10185,9375,107,197,506,10.0
17007010601,3456,27,9,371,3863,17007,3859,3455,25,9,370,10.0
17007010602,10600,271,231,883,11985,17007,11982,10599,270,230,883,10.0
17009970400,2574,8,6,30,2618,17009,2606,2573,4,3,26,10.0
17009970500,2703,1276,13,340,4332,17009,4331,2703,1276,13,339,10.0
17011964700,3001,10,4,59,3074,17011,3072,3002,9,3,58,10.0
17011964800,3437,7,12,45,3501,17011,3496,3433,6,12,45,10.0
17011964900,2713,17,23,60,2813,17011,2815,2715,16,24,60,10.0
17011965000,3354,34,41,657,4086,17011,4078,3352,32,37,657,10.0
17011965100,3832,44,22,257,4155,17011,4152,3831,42,22,257,10.0
17011965200,3275,48,26,254,3603,17011,3600,3274,48,25,253,10.0
17011965300,3315,14,31,68,3428,17011,3429,3316,14,31,68,10.0
17011965400,3406,21,48,77,3552,17011,3549,3407,20,45,77,10.0
17011965500,3670,14,22,65,3771,17011,3759,3668,10,20,61,10.0
17011965600,2940,19,11,69,3039,17011,3028,2939,15,9,65,10.0
17013951200,2642,9,11,25,2687,17013,2681,2640,7,11,23,10.0
17013951300,2392,1,4,16,2413,17013,2408,2392,0,1,15,10.0
17015960100,3522,10,13,36,3581,17015,3578,3523,7,12,36,10.0
17015960200,2101,22,6,43,2172,17015,2165,2099,21,4,41,10.0
17015960300,2986,60,4,129,3179,17015,3176,2985,59,3,129,10.0
