geoid,adj_white,adj_black,adj_asian,adj_other,adj_pop,parent_geoid,true_pop,white,black,asian,other,epsilon
17001,62868,2331,442,1463,67104,17,67103,62868,2331,441,1463,15.0
17003,5018,2915,16,289,8238,17,8238,5018,2915,16,289,15.0
17005,16144,1081,68,478,17771,17,17768,16143,1080,68,477,15.0
17007,45726,1064,687,6691,54168,17,54165,45724,1064,686,6691,15.0
17009,5275,1280,16,365,6936,17,6937,5276,1280,16,365,15.0
17011,32938,212,232,1600,34982,17,34978,32937,212,228,1601,15.0
17013,5032,10,12,38,5092,17,5089,5032,7,12,38,15.0
17015,14906,124,53,306,15389,17,15387,14906,123,53,305,15.0
17017,11769,420,44,1411,13644,17,13642,11769,419,44,1410,15.0
17019,147599,24950,17972,10567,201088,17,201081,147600,24946,17969,10566,15.0
17021,33610,496,168,529,34803,17,34800,33610,495,167,528,15.0
17023,16028,48,56,206,16338,17,16335,16027,48,55,205,15.0
17025,13499,47,63,207,13816,17,13815,13499,47,63,206,15.0
17027,35285,1339,167,973,37764,17,37762,35284,1338,167,973,15.0
17029,50031,2068,533,1246,53878,17,53873,50029,2067,531,1246,15.0
17031,2877226,1287781,322687,707031,5194725,17,5194675,2877212,1287767,322672,707024,15.0
17033,18382,935,103,400,19820,17,19817,18381,934,103,399,15.0
17035,10856,38,28,128,11050,17,11048,10856,38,27,127,15.0
17037,89453,6733,2439,6536,105161,17,105160,89453,6732,2438,6537,15.0
17039,16034,89,60,380,16563,17,16561,16035,87,60,379,15.0
17041,19114,58,84,728,19984,17,19980,19113,58,83,726,15.0
17043,714144,42350,92309,68135,916938,17,916924,714140,42346,92304,68134,15.0
17045,18268,65,35,212,18580,17,18576,18268,64,33,211,15.0
17047,6584,32,23,85,6724,17,6721,6584,30,22,85,15.0
17049,33429,80,148,587,34244,17,34242,33429,79,147,587,15.0
17051,20751,982,51,361,22145,17,22140,20750,980,51,359,15.0
17053,13676,85,37,283,14081,17,14081,13677,85,37,282,15.0
17055,38640,124,126,674,39564,17,39561,38641,123,124,673,15.0
17057,34625,1270,112,1065,37072,17,37069,34625,1269,112,1063,15.0
17059,5473,12,6,99,5590,17,5589,5473,12,5,99,15.0
17061,13588,120,16,164,13888,17,13886,13588,119,16,163,15.0
17063,46935,610,329,2199,50073,17,50063,46933,605,327,2198,15.0
17065,8305,31,21,102,8459,17,8457,8305,31,19,102,15.0
17067,18724,53,47,284,19108,17,19104,18723,52,46,283,15.0
17069,4205,14,23,80,4322,17,4320,4205,13,22,80,15.0
17071,7197,16,15,103,7331,17,7331,7198,15,15,103,15.0
17073,47847,797,192,1655,50491,17,50486,47846,796,191,1653,15.0
17075,28156,236,103,1227,29722,17,29718,28155,233,103,1227,15.0
17077,46874,8591,1911,2845,60221,17,60218,46875,8589,1910,2844,15.0
17079,9563,11,24,99,9697,17,9698,9564,11,24,99,15.0
17081,34315,3253,247,1015,38830,17,38827,34315,3251,246,1015,15.0
17083,22431,93,77,384,22985,17,22985,22431,93,77,384,15.0
17085,22047,107,73,453,22680,17,22678,22046,107,72,453,15.0
17087,11197,1006,22,357,12582,17,12582,11197,1006,22,357,15.0
17089,384549,29423,17899,83407,515278,17,515269,384548,29422,17895,83404,15.0
17091,87988,17186,1054,7223,113451,17,113449,87986,17187,1052,7224,15.0
17093,95891,6586,3467,8793,114737,17,114736,95891,6585,3467,8793,15.0
17095,46330,3811,339,2444,52924,17,52919,46329,3810,338,2442,15.0
17097,528203,49036,44364,81869,703472,17,703462,528204,49033,44358,81867,15.0
17099,106187,2187,763,4794,113931,17,113924,106187,2186,762,4789,15.0
17101,14697,1609,38,491,16835,17,16833,14696,1608,38,491,15.0
17103,32746,1737,247,1304,36034,17,36031,32745,1735,246,1305,15.0
17105,35754,1915,201,1085,38955,17,38950,35752,1915,199,1084,15.0
17107,27009,2287,186,829,30311,17,30305,27008,2285,184,828,15.0
17109,29475,1643,580,914,32612,17,32612,29476,1642,580,914,15.0
17111,278258,3289,7809,19415,308771,17,308760,278257,3283,7807,19413,15.0
17113,142940,12429,7228,6981,169578,17,169572,142940,12426,7227,6979,15.0
17115,87856,18027,1118,3769,110770,17,110768,87855,18027,1118,3768,15.0
17117,46596,359,130,681,47766,17,47765,46596,359,129,681,15.0
17119,237645,21238,2259,8155,269297,17,269282,237641,21235,2254,8152,15.0
17121,36735,1559,226,922,39442,17,39437,36734,1557,224,922,15.0
17123,12271,46,45,281,12643,17,12640,12271,44,45,280,15.0
17125,14383,56,41,190,14670,17,14666,14382,54,40,190,15.0
17127,14033,905,42,450,15430,17,15429,14033,904,42,450,15.0
17129,12383,76,30,216,12705,17,12705,12383,76,30,216,15.0
17131,16154,48,52,182,16436,17,16434,16153,47,52,182,15.0
17133,32288,70,145,458,32961,17,32957,32287,69,144,457,15.0
17135,28633,952,111,412,30108,17,30104,28632,952,111,409,15.0
17137,32323,2123,169,937,35552,17,35547,32321,2122,168,936,15.0
17139,14623,42,32,152,14849,17,14846,14622,41,31,152,15.0
17141,49868,484,250,2898,53500,17,53497,49867,483,250,2897,15.0
17143,138800,33033,5858,8810,186501,17,186494,138800,33030,5856,8808,15.0
17145,19657,1866,88,741,22352,17,22350,19656,1866,87,741,15.0
17147,16395,58,51,227,16731,17,16729,16393,58,51,227,15.0
17149,15929,275,39,189,16432,17,16430,15928,275,38,189,15.0
17151,4098,269,11,92,4470,17,4470,4098,269,11,92,15.0
17153,3965,1993,13,189,6160,17,6161,3965,1994,13,189,15.0
17155,5803,32,13,159,6007,17,6006,5803,32,13,158,15.0
17157,29319,3263,104,791,33477,17,33476,29318,3263,104,791,15.0
17159,15795,79,120,241,16235,17,16233,15795,78,119,241,15.0
17161,120381,13289,2420,11459,147549,17,147546,120382,13289,2419,11456,15.0
17163,174458,82307,3281,10025,270071,17,270056,174458,82302,3276,10020,15.0
17165,23177,995,102,641,24915,17,24913,23178,995,101,639,15.0
17167,165103,23340,3224,5808,197475,17,197465,165103,23335,3220,5807,15.0
17169,7205,243,9,87,7544,17,7544,7205,243,9,87,15.0
17171,5279,9,12,57,5357,17,5355,5279,9,12,55,15.0
17173,22048,51,57,213,22369,17,22363,22045,50,56,212,15.0
17175,5855,30,19,92,5996,17,5994,5855,28,19,92,15.0
17177,41291,4276,297,1850,47714,17,47711,41291,4275,297,1848,15.0
17179,130228,1374,1000,2797,135399,17,135394,130225,1374,999,2796,15.0
17181,16881,156,54,718,17809,17,17808,16880,156,54,718,15.0
17183,67323,10574,568,3171,81636,17,81625,67323,10571,564,3167,15.0
17185,11576,77,72,224,11949,17,11947,11576,77,70,224,15.0
17187,16166,303,95,1146,17710,17,17707,16165,303,94,1145,15.0
17189,14376,102,42,197,14717,17,14716,14376,101,42,197,15.0
17191,16428,43,72,220,16763,17,16760,16427,42,71,220,15.0
17193,14393,58,32,186,14669,17,14665,14393,56,31,185,15.0
17195,53922,785,277,3518,58502,17,58498,53923,781,276,3518,15.0
17197,514663,75752,30838,56321,677574,17,677560,514664,75743,30833,56320,15.0
17199,61541,2540,564,1713,66358,17,66357,61542,2540,561,1714,15.0
17201,228652,36110,6813,23697,295272,17,295266,228652,36108,6810,23696,15.0
17203,37642,188,214,621,38665,17,38664,37643,187,213,621,15.0
